0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
70,AJ_29.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,6,No secondary purpose,Unknown,Karo Kishishian
71,AJ_3.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,Not working,No secondary purpose,Unknown,Greg
72,AJ_30.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,3.17,No secondary purpose,Unknown,Karo Kishishian
73,AJ_31.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,2.2,No secondary purpose,Unknown,Karo Kishishian
74,AJ_32.JPG,10/15/2023,Ajapnyak,Halabyan,no valve,4,No secondary purpose,Unknown,Karo Kishishian
75,AJ_34.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,no valve,3.7,No secondary purpose,Unknown,Greg Akopyan
76,AJ_35.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,no valve,4.1,No secondary purpose,Unknown,Greg Akopyan
77,AJ_36.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,no valve,4.5,No secondary purpose,Unknown,Greg Akopyan
78,AJ_37.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,valve,3.8,No secondary purpose,Unknown,Greg Akopyan
79,AJ_38.JPG,10/30/2023,Ajapnyak,Bashinjaghyan 1st Back Str.,no valve,2.5,No secondary purpose,Unknown,Greg Akopyan
80,AJ_39.JPG,10/30/2023,Ajapnyak,Silikian new highway,no valve,3.17,No secondary purpose,Unknown,Karo Kishishian
81,AJ_4.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,3.5,No secondary purpose,2020,Greg
82,AJ_40.JPG,10/30/2023,Ajapnyak,Silikian 1st street,no valve,2.1,No secondary purpose,Unknown,Karo Kishishian
83,AJ_41.JPG,10/30/2023,Ajapnyak,Silikian 4th street,valve,N/A,No secondary purpose,Unknown,Karo Kishishian
84,AJ_45.JPG,10/30/2023,Ajapnyak,silikian 3rd street,no valve,1.269,No secondary purpose,1980's,Karo Kishishian
85,AJ_46.JPG,10/30/2023,Ajapnyak,silikian,no valve,2.2,No secondary purpose,1977,Karo Kishishian
86,AJ_47.JPG,10/30/2023,Ajapnyak,silikian,no valve,2.7,No secondary purpose,1977,Karo Kishishian
87,AJ_48.JPG,10/30/2023,Ajapnyak,silikian 5th street,no valve,not working ,No secondary purpose,unknown ,Karo Kishishian
88,AJ_49.JPG,10/30/2023,Ajapnyak,silikian 5th street,no valve,2.4,No secondary purpose,unknown ,Karo Kishishian
89,AJ_5.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,2.5,No secondary purpose,Unknown,Greg
90,AJ_53.JPG,10/30/2023,Ajapnyak,silikian 7th street,no valve,not working,No secondary purpose,unknown ,Karo Kishishian
91,AJ_58.JPG,10/30/2023,Ajapnyak,lukashin street,no valve,2.6,No secondary purpose,unknown ,Karo Kishishian
92,AJ_62.JPG,10/30/2023,Ajapnyak,mirakyan street park,no valve,3.1,No secondary purpose,unknown ,Karo Kishishian
93,AJ_66.JPG,10/30/2023,Ajapnyak,vshtuni street,no valve,3,No secondary purpose,unknown,Karo Kishishian
94,AJ_68.JPG,10/30/2023,Ajapnyak,sisakyan street,semi-working valve,,No secondary purpose,unknown,Karo Kishishian
95,AJ_7.JPG,10/01/2023,Ajapnyak,Bashinjaghyan,no valve,3.75,No secondary purpose,Unknown,Greg
96,AJ_70.JPG,10/30/2023,Ajapnyak,hakobiants street,no valve,not working,No secondary purpose,unknown,Karo Kishishian
97,AJ_72.JPG,10/30/2023,Ajapnyak,hakobiants street,no valve,3.5,No secondary purpose,unknown,Karo Kishishian
98,AJ_73.JPG,10/30/2023,Ajapnyak,varduhi varderesyan street,no valve,3.06,No secondary purpose,unknown,Karo Kishishian
99,AJ_74.JPG,10/30/2023,Ajapnyak,janibekyan street,no valve,4.13,No secondary purpose,unknown,Karo Kishishian
100,AJ_75.JPG,10/30/2023,Ajapnyak,karapetyan street,no valve,1.93,No secondary purpose,unknown,Karo Kishishian
101,AJ_77.JPG,10/30/2023,Ajapnyak,bashinjaghyan street,no valve,3.835,No secondary purpose,unknown,Karo Kishishian
102,AJ_80.JPG,10/30/2023,Ajapnyak,margaryan street,broken valve,0.3,No secondary purpose,unknown,Karo Kishishian
103,AJ_82.JPG,10/30/2023,Ajapnyak,margaryan street,no valve,not working,No secondary purpose,unknown,Karo Kishishian
104,AJ_83.JPG,10/30/2023,Ajapnyak,margaryan street,no valve,4,No secondary purpose,unknown,Karo Kishishian
105,AJ_85.JPG,10/30/2023,Ajapnyak,bashinjaghyan street,no valve,4,No secondary purpose,unknown,Karo Kishishian
106,AJ_9.JPG,10/01/2023,Ajapnyak,Leningradyan/Hasmik St,no valve,2.5,No secondary purpose,Unknown,Greg
107,AJ_90.JPG,10/30/2023,Ajapnyak,kvartal upper garden,no valve,3,No secondary purpose,unknown,Karo Kishishian
108,AR_10.JPG,9/30/2023,Arabkir,Kievyan Street,no valve,7.2,No secondary purpose,Unknown,Inga Avetisyan
109,AR_100.JPG,10/27/2023,Arabkir,Aram Khachatryan Street,no valve,3.46,No secondary purpose,Unknown,Inga Avetisyan
110,AR_101.JPG,10/27/2023,Arabkir,Barbyus Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
111,AR_102.JPG,10/27/2023,Arabkir,Kievyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
112,AR_103.JPG,10/27/2023,Arabkir,Kievyan Street,with valve,,No secondary purpose,Unknown,Inga Avetisyan
113,AR_104.JPG,10/27/2023,Arabkir,Kievyan Street 1st Lane,with valve,,No secondary purpose,Unknown,Inga Avetisyan
114,AR_105.JPG,10/27/2023,Arabkir,Sevastopolian Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
115,AR_106.JPG,10/27/2023,Arabkir,Sevastopolian Street,no valve,Not working,No secondary purpose,Unknown,Inga Avetisyan
116,AR_107.JPG,10/27/2023,Arabkir,Kievyan Street,no valve,2.51,No secondary purpose,Unknown,Inga Avetisyan
