0,File name,Date,District,Street name,Type,Flow rate (L/min),Secondary purpose?,Year fountain was constructed (if stated),Entry made by:
354,ER_12.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,Not working,No secondary purpose,Unknown,Hrayr Muradyan
355,ER_120.JPG,10/26/23,Erebuni,Glinka street,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
356,ER_121.JPG,10/26/23,Erebuni,Michurin Street,with valve,,No secondary purpose,Unknown,Hrayr Muradyan
357,ER_122.JPG,10/26/23,Erebuni,Michurin Street,no valve,3.33,No secondary purpose,Unknown,Hrayr Muradyan
358,ER_123.JPG,10/26/23,Erebuni,Burnazyan Street,no valve,2.4,No secondary purpose,Unknown,Hrayr Muradyan
359,ER_124.JPG,10/26/23,Erebuni,Lizinyan Street,with valve,,No secondary purpose,Unknown,Hrayr Muradyan
360,ER_125.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,3.53,No secondary purpose,Unknown,Hrayr Muradyan
361,ER_126.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,3.75,No secondary purpose,Unknown,Hrayr Muradyan
362,ER_127.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
363,ER_129.JPG,10/26/23,Erebuni,Belinsky Street,no valve,3.53,No secondary purpose,Unknown,Hrayr Muradyan
364,ER_13.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,5.8,No secondary purpose,Unknown,Hrayr Muradyan
365,ER_130.JPG,10/26/23,Erebuni,Movses Khorenaci Street,no valve,3.53,No secondary purpose,Unknown,Hrayr Muradyan
366,ER_131.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,2.22,No secondary purpose,Unknown,Hrayr Muradyan
367,ER_132.JPG,10/26/23,Erebuni,Jack lv Kusto Street,no valve,Not Working,No secondary purpose,Unknown,Hrayr Muradyan
368,ER_133.JPG,10/26/23,Erebuni,Vardavar Park,no valve,3.75,No secondary purpose,Unknown,Hrayr Muradyan
369,ER_134.JPG,10/26/23,Erebuni,Vardavar Park,no valve,2.31,No secondary purpose,Unknown,Hrayr Muradyan
370,ER_135.JPG,10/26/23,Erebuni,Sasuntsi Davit Street,no valve,7.5,No secondary purpose,Unknown,Hrayr Muradyan
371,ER_136.JPG,10/26/23,Erebuni,Vardavar Park,no valve,5,No secondary purpose,Unknown,Hrayr Muradyan
372,ER_137.JPG,10/26/23,Erebuni,Movses Khorenaci Street,no valve,6.66,No secondary purpose,Unknown,Hrayr Muradyan
373,ER_138.JPG,10/26/23,Erebuni,Sari Tagh,no valve,1.2,No secondary purpose,Unknown,Elen Khachatryan
374,ER_139.JPG,10/26/23,Erebuni,Sari Tagh,no valve,3,No secondary purpose,Unknown,Elen Khachatryan
375,ER_14.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2.5,No secondary purpose,Unknown,Hrayr Muradyan
376,ER_140.JPG,10/28/23,Erebuni,Nor Aresh 11th Street,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
377,ER_141.JPG,10/28/23,Erebuni,Nor Aresh 42nd Street,with valve,,No secondary purpose,Unknown,Elen Khachatryan
378,ER_142.JPG,10/28/23,Erebuni,Nor Aresh 42nd Street,no valve,2.14,No secondary purpose,Unknown,Elen Khachatryan
379,ER_143.JPG,10/28/23,Erebuni,Nor Aresh 42nd Street,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
380,ER_144.JPG,10/28/23,Erebuni,Nor Aresh 46th Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
381,ER_145.JPG,10/28/23,Erebuni,Nor Aresh 22nd Street,no valve,6,No secondary purpose,Unknown,Elen Khachatryan
382,ER_146.JPG,10/28/23,Erebuni,Erebuni Street,no valve,1.7,No secondary purpose,Unknown,Elen Khachatryan
383,ER_147.JPG,10/28/23,Erebuni,Erebuni Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
384,ER_148.JPG,10/28/23,Erebuni,Erebuni Street,no valve,2.5,No secondary purpose,Unknown,Elen Khachatryan
385,ER_149.JPG,10/28/23,Erebuni,Azatamartikneri 5th Lane,no valve,3.75,No secondary purpose,Unknown,Elen Khachatryan
386,ER_15.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2.3,No secondary purpose,Unknown,Hrayr Muradyan
387,ER_150.JPG,10/28/23,Erebuni,Azatamartikneri 5th Lane,no valve,1.875,No secondary purpose,Unknown,Elen Khachatryan
388,ER_151.JPG,10/28/23,Erebuni,Nor Aresh 22nd Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
389,ER_152.JPG,10/28/23,Erebuni,Azatamartikneri Street,no valve,4,No secondary purpose,Unknown,Elen Khachatryan
390,ER_153.JPG,10/28/23,Erebuni,Nor Aresh 14th Street,no valve,1.66,No secondary purpose,Unknown,Elen Khachatryan
391,ER_154.JPG,10/28/23,Erebuni,Nor Aresh 12th Street,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
392,ER_155.JPG,10/28/23,Erebuni,Muratsan Street,no valve,2.85,No secondary purpose,Unknown,Elen Khachatryan
393,ER_156.JPG,10/28/23,Erebuni,Muratsan Street,no valve,3,No secondary purpose,Unknown,Elen Khachatryan
394,ER_157.JPG,10/28/23,Erebuni,Nor Aresh 15th Street,with valve,,No secondary purpose,Unknown,Elen Khachatryan
395,ER_158.JPG,10/28/23,Erebuni,Muratsan Street,with valve,,No secondary purpose,Unknown,Elen Khachatryan
396,ER_159.JPG,10/28/23,Erebuni,Muratsan Street,no valve,2.14,No secondary purpose,Unknown,Elen Khachatryan
397,ER_16.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,6.6,No secondary purpose,Unknown,Hrayr Muradyan
398,ER_160.JPG,10/28/23,Erebuni,Nor Aresh 15th Street,no valve,2.5,No secondary purpose,Unknown,Elen Khachatryan
399,ER_161.JPG,10/28/23,Erebuni,Nor Aresh 17th Street,no valve,2.85,No secondary purpose,Unknown,Elen Khachatryan
400,ER_162.JPG,10/28/23,Erebuni,Atoyan Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
401,ER_163.JPG,10/28/23,Erebuni,Nor Aresh 8th Street,no valve,4.61,No secondary purpose,Unknown,Elen Khachatryan
402,ER_164.JPG,10/28/23,Erebuni,Muratsan Street,no valve,3.75,No secondary purpose,Unknown,Elen Khachatryan
403,ER_165.JPG,10/28/23,Erebuni,Nor Aresh 4th Street,no valve,1.7,No secondary purpose,Unknown,Elen Khachatryan
404,ER_166.JPG,10/28/23,Erebuni,Nor Aresh 34th Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
405,ER_167.JPG,10/28/23,Erebuni,Nor Aresh 28th Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
406,ER_168.JPG,10/28/23,Erebuni,Nor Aresh 31th Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
407,ER_169.JPG,10/28/23,Erebuni,Nor Aresh 29th Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
408,ER_17.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2.85,No secondary purpose,Unknown,Hrayr Muradyan
409,ER_170.JPG,10/28/23,Erebuni,Belinsky Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
410,ER_171.JPG,10/28/23,Erebuni,Belinsky Street,no valve,2.14,No secondary purpose,Unknown,Elen Khachatryan
411,ER_172.JPG,10/29/23,Erebuni,Azatamartikneri Street,no valve,2.6,No secondary purpose,Unknown,Elen Khachatryan
412,ER_173.JPG,10/29/23,Erebuni,Belinsky Street,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
413,ER_18.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,4.61,No secondary purpose,Unknown,Hrayr Muradyan
414,ER_19.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,5,No secondary purpose,Unknown,Hrayr Muradyan
415,ER_2.jpg,10/01/2023,Erebuni,Artsakh Street,no valve,2.7,No secondary purpose,Unknown,Armine Papikyan
416,ER_20.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,Not working,No secondary purpose,Unknown,Hrayr Muradyan
417,ER_21.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
418,ER_22.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
419,ER_23.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,4,No secondary purpose,Unknown,Hrayr Muradyan
420,ER_24.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,3.33,No secondary purpose,Unknown,Hrayr Muradyan
421,ER_25.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,1.81,No secondary purpose,Unknown,Hrayr Muradyan
422,ER_26.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2.5,No secondary purpose,Unknown,Hrayr Muradyan
423,ER_27.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,3.75,No secondary purpose,Unknown,Hrayr Muradyan
424,ER_28.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,4,No secondary purpose,Unknown,Hrayr Muradyan
425,ER_29.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,8.57,No secondary purpose,Unknown,Hrayr Muradyan
426,ER_3.jpg,10/01/2023,Erebuni,Artsakh Street,no valve,2.5,No secondary purpose,Unknown,Armine Papikyan
427,ER_30.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,3,No secondary purpose,Unknown,Hrayr Muradyan
428,ER_32.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,4.28,No secondary purpose,2005,Hrayr Muradyan
429,ER_33.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,7.5,No secondary purpose,Unknown,Hrayr Muradyan
430,ER_34.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,5.56,No secondary purpose,Unknown,Hrayr Muradyan
431,ER_35.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,2.72,No secondary purpose,Unknown,Hrayr Muradyan
432,ER_36.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,1.62,No secondary purpose,Unknown,Hrayr Muradyan
433,ER_38.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,3.15,No secondary purpose,Unknown,Hrayr Muradyan
434,ER_39.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,5.45,No secondary purpose,Unknown,Elen Khachatryan
435,ER_4.jpg,10/01/2023,Erebuni,Artsakh Street,no valve,2.7,No secondary purpose,Unknown,Armine Papikyan
436,ER_40.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,2.85,No secondary purpose,Unknown,Elen Khachatryan
437,ER_41.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,2.6,No secondary purpose,Unknown,Elen Khachatryan
438,ER_42.jpg,10/11/2023,Erebuni,Khaghagh Don St,with valve,Valve,No secondary purpose,Unknown,Elen Khachatryan
439,ER_43.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,5.45,No secondary purpose,Unknown,Elen Khachatryan
440,ER_44.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,Not working,No secondary purpose,Unknown,Elen Khachatryan
441,ER_45.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,4.28,No secondary purpose,Unknown,Elen Khachatryan
442,ER_46.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,Not Working,No secondary purpose,Unknown,Elen Khachatryan
443,ER_47.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,3.53,No secondary purpose,Unknown,Elen Khachatryan
444,ER_48.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,2.6,No secondary purpose,Unknown,Elen Khachatryan
445,ER_49.jpg,10/11/2023,Erebuni,Khaghagh Don St,no valve,2.85,No secondary purpose,Unknown,Elen Khachatryan
446,ER_5.jpg,10/01/2023,Erebuni,Artsakh Street,no valve,1,No secondary purpose,Unknown,Armine Papikyan
447,ER_50.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,4.61,No secondary purpose,Unknown,Elen Khachatryan
448,ER_51.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,3.53,No secondary purpose,Unknown,Elen Khachatryan
449,ER_52.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,2.85,No secondary purpose,Unknown,Elen Khachatryan
450,ER_54.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,3.75,No secondary purpose,Unknown,Elen Khachatryan
451,ER_55.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,2,No secondary purpose,Unknown,Elen Khachatryan
452,ER_56.jpg,10/15/2023,Erebuni,Titogradyan St,no valve,2.72,No secondary purpose,Unknown,Elen Khachatryan
453,ER_57.jpg,10/15/2023,Erebuni,Titogradyan St,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
454,ER_58.jpg,10/15/2023,Erebuni,Titogradyan St,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
455,ER_59.jpg,10/15/2023,Erebuni,Titogradyan St,no valve,5,No secondary purpose,Unknown,Elen Khachatryan
456,ER_6.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2,No secondary purpose,1997,Hrayr Muradyan
457,ER_60.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,4,No secondary purpose,Unknown,Elen Khachatryan
458,ER_61.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,2.14,No secondary purpose,Unknown,Elen Khachatryan
459,ER_62.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,2.6,No secondary purpose,Unknown,Elen Khachatryan
460,ER_63.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,2.4,No secondary purpose,Unknown,Elen Khachatryan
461,ER_64.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,10,No secondary purpose,Unknown,Elen Khachatryan
462,ER_65.jpg,10/15/2023,Erebuni,Varlam Avanesov St ,no valve,3.2,No secondary purpose,Unknown,Elen Khachatryan
463,ER_66.jpg,10/15/2023,Erebuni,Ayvazovski St,no valve,2.14,No secondary purpose,Unknown,Elen Khachatryan
464,ER_67.jpg,10/15/2023,Erebuni,Ayvazovski St,no valve,5,No secondary purpose,Unknown,Elen Khachatryan
465,ER_68.jpg,10/15/2023,Erebuni,Ayvazovski St,no valve,2.22,No secondary purpose,Unknown,Elen Khachatryan
466,ER_7.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,2,No secondary purpose,Unknown,Hrayr Muradyan
467,ER_70.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.8,No secondary purpose,Unknown,Armine Papikyan
468,ER_71.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.9,No secondary purpose,Unknown,Armine Papikyan
469,ER_72.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.85,No secondary purpose,Unknown,Armine Papikyan
470,ER_73.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.8,No secondary purpose,Unknown,Armine Papikyan
471,ER_74.JPG,10/29/2023,Erebuni,Artsakh Street,with valve,,No secondary purpose,Unknown,Armine Papikyan
472,ER_75.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.93,No secondary purpose,Unknown,Armine Papikyan
473,ER_76.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,1.73,No secondary purpose,Unknown,Armine Papikyan
474,ER_77.JPG,10/29/2023,Erebuni,Artsakh Street,with valve,,No secondary purpose,Unknown,Armine Papikyan
475,ER_78.JPG,10/29/2023,Erebuni,Artsakh Street,no valve,2.5,No secondary purpose,Unknown,Armine Papikyan
476,ER_79.JPG,10/29/2023,Erebuni,Atoyan Street,no valve,2.9,No secondary purpose,Unknown,Armine Papikyan
477,ER_8.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,5.45,No secondary purpose,Unknown,Hrayr Muradyan
478,ER_80.JPG,10/29/2023,Erebuni,Nor Aresh Street,no valve,2.3,No secondary purpose,Unknown,Armine Papikyan
479,ER_81.JPG,10/29/2023,Erebuni,Nor Aresh Street,no valve,2.35,No secondary purpose,Unknown,Armine Papikyan
480,ER_82.JPG,10/29/2023,Erebuni,Nor Aresh Street,with valve,,No secondary purpose,Unknown,Armine Papikyan
481,ER_83.JPG,10/29/2023,Erebuni,Nor Aresh Street,no valve,"1st head: 3.3, 2nd head: 1.9",No secondary purpose,Unknown,Armine Papikyan
482,ER_84.JPG,10/29/2023,Erebuni,Atoyan Street,not working,,No secondary purpose,Unknown,Armine Papikyan
483,ER_85.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,not working,,No secondary purpose,Unknown,Armine Papikyan
484,ER_86.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,no valve,2.83,No secondary purpose,Unknown,Armine Papikyan
485,ER_87.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,no valve,2.85,No secondary purpose,Unknown,Armine Papikyan
486,ER_88.JPG,10/29/2023,Erebuni,Atoyan Street,no valve,3.33,No secondary purpose,Unknown,Armine Papikyan
487,ER_89.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,not working,,No secondary purpose,Unknown,Armine Papikyan
488,ER_9.jpg,10/05/2023,Erebuni,Khaghagh Don St,no valve,4.61,No secondary purpose,Unknown,Hrayr Muradyan
489,ER_90.JPG,10/29/2023,Erebuni,Erebuni Street,no valve,2.78,No secondary purpose,Unknown,Armine Papikyan
490,ER_91.JPG,10/29/2023,Erebuni,Nor Aresh Street,no valve,2.1,No secondary purpose,Unknown,Armine Papikyan
491,ER_92.JPG,10/29/2023,Erebuni,Nubarashen Street,not working,,No secondary purpose,Unknown,Armine Papikyan
492,ER_93.JPG,10/29/2023,Erebuni,Nor Aresh Street,not working,,No secondary purpose,Unknown,Armine Papikyan
493,ER_94.JPG,10/29/2023,Erebuni,Rostovyan Street,no valve,2.93,No secondary purpose,Unknown,Armine Papikyan
494,ER_95.JPG,10/29/2023,Erebuni,Nor Aresh Street,no valve,2.8,No secondary purpose,Unknown,Armine Papikyan
495,ER_96.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,no valve,2.8,No secondary purpose,Unknown,Armine Papikyan
496,ER_97.JPG,10/29/2023,Erebuni,Azatamartikner Avenue,no valve,1.7,No secondary purpose,Unknown,Armine Papikyan
497,ER_98.JPG,10/29/2023,Erebuni,Sasuntsi Davit Street,no valve,6.1,No secondary purpose,Unknown,Armine Papikyan
498,ER_99.JPG,10/29/2023,Erebuni,Sasuntsi Davit Street,no valve,2.1,No secondary purpose,Unknown,Armine Papikyan
499,KN_1.JPG,10/2/2023,Kentron,Marshal Baghramyan Street,no valve,2.36,No secondary purpose,Uknown,Lilit Ivanyan
500,KN_10.JPG,10/2/2023,Kentron,Mesrop Mashtots Avenue,no valve,6.7,No secondary purpose,Unknown,Lilit Ivanyan
501,KN_100.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
502,KN_101.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
503,KN_102.JPG,10/29/23,Kentron,Sayat Nova Ave.,with a broken valve,2.14,no secondary purpose,Unknown,Hrach Khachatryan
504,KN_103.JPG,10/29/23,Kentron,Sayat Nova Ave.,no valve,2.5,no secondary purpose,Unknown,Hrach Khachatryan
505,KN_104.JPG,10/29/23,Kentron,Sayat Nova Ave. and Tumanyan Str. crossroad,no valve,no flow/broken,no secondary purpose,Unknown,Hrach Khachatryan
506,KN_106.JPG,10/29/23,Kentron,Hanrapetutyan Str.,no valve,3,no secondary purpose,Unknown,Hrach Khachatryan
507,KN_11.jpg,10/8/2023,Kentron,Koghbatsi street,no valve,4.6,No secondary purpose,Unknown,Adam Simonyan
508,KN_12.jpg,10/8/2023,Kentron,Pushkin street,no valve,4,No secondary purpose,Unknown,Adam Simonyan
509,KN_13.jpg,10/8/2023,Kentron,Nalbandyan street,no valve,3.17,No secondary purpose,Unknown,Adam Simonyan
510,KN_14.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,4.28,No secondary purpose,Unknown,Adam Simonyan
511,KN_15.jpg,10/8/2023,Kentron,Vernisage,with valve,,No secondary purpose,Unknown,Adam Simonyan
512,KN_16.jpg,10/8/2023,Kentron,Vernisage,with valve,,No secondary purpose,Unknown,Adam Simonyan
513,KN_17.jpg,10/8/2023,Kentron,Vernisage,with valve,,No secondary purpose,Unknown,Adam Simonyan
514,KN_18.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,2.38,No secondary purpose,Unknown,Adam Simonyan
515,KN_19.jpg,10/8/2023,Kentron,Hanrapetutyan street,no valve,2.14,No secondary purpose,Unknown,Adam Simonyan
516,KN_2.JPG,10/2/2023,Kentron,Silva Kaputikyan Street,with valve,-,No secondary purpose,1996 or 1997,Lilit Ivanyan
517,KN_20.JPG,10/8/2023,Kentron,Sayat-Nova Street,no valve,3.22,No secondary purpose,Unknown,Lilit Ivanyan
518,KN_21.JPG,10/8/2023,Kentron,Abovyan Street,no valve,"3/4 working heads,      4 L/m each",No secondary purpose,Unknown,Lilit Ivanyan
519,KN_22.JPG,10/8/2023,Kentron,Abovyan Street,no valve,2.11,No secondary purpose,Unknown,Lilit Ivanyan
520,KN_23.JPG,10/8/2023,Kentron,Vazgen Sargsyan Street,no valve,3.75,No secondary purpose,Unknown,Lilit Ivanyan
521,KN_24.JPG,10/8/2023,Kentron,Children's park,with a broken valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
522,KN_25.JPG,10/8/2023,Kentron,Children's park,with a broken valve,2.44,No secondary purpose,Unknown,Lilit Ivanyan
523,KN_26.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,3.66,No secondary purpose,Unknown,Lilit Ivanyan
524,KN_27.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,"3 heads, 3.85 L/min each",No secondary purpose,Unknown,Lilit Ivanyan
525,KN_28.JPG,10/8/2023,Kentron,Yerevan 2800th Anniversary Park,no valve,"3 heads,  3.85 L/min each",No secondary purpose,Unknown,Lilit Ivanyan
526,KN_29.JPG,10/8/2023,Kentron,English Park,no valve,3.16,No secondary purpose,Unknown,Lilit Ivanyan
527,KN_3.JPG,10/2/2023,Kentron,Antarayin Street,no valve,1.69,No secondary purpose,Unknown,Lilit Ivanyan
528,KN_30.JPG,10/8/2023,Kentron,English Park,"1. no valve, 2. closed head","1st one  6.7 L/min, 2nd one 0",No secondary purpose,Unknown,Lilit Ivanyan
529,KN_31.JPG,10/8/2023,Kentron,St. Grigor Lusavorich Street,with valve,2 heads with valves,No secondary purpose,Unknown,Lilit Ivanyan
530,KN_32.JPG,10/8/2023,Kentron,Movses Khorenatsi Street,no valve,6.25,No secondary purpose,Unknown,Lilit Ivanyan
531,KN_33.JPG,10/8/2023,Kentron,Yeznik Koghbatsi Street,"1. with valve, 2. no valve",2nd one  2.73 L/min,No secondary purpose,Unknown,Lilit Ivanyan
532,KN_34.JPG,10/8/2023,Kentron,Yeznik Koghbatsi Street,no valve,3.06,No secondary purpose,Unknown,Lilit Ivanyan
533,KN_35.JPG,10/8/2023,Kentron,Yeznik Koghbatsi Street,no valve,2.13,No secondary purpose,Unknown,Lilit Ivanyan
534,KN_36.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,2.14L/min,No secondary purpose,Unknown,Hrach Khachatryan
535,KN_37.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,"3 heads, 3L/min first two, 2.5L/min the third one""",No secondary purpose,Unknown,Hrach Khachatryan
536,KN_39.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue (by Opera),with a broken valve,1.67L/min,No secondary purpose,Unknown,Hrach Khachatryan
537,KN_4.JPG,10/2/2023,Kentron,Antarayin Street,no valve,4,No secondary purpose,Unknown,Lilit Ivanyan
538,KN_40.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3L/min,No secondary purpose,Unknown,Hrach Khachatryan
539,KN_41.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,2.14L/min,No secondary purpose,Unknown,Hrach Khachatryan
540,KN_44.JPG,10/8/2023,Kentron,Mesrop Mashtots Avenue,no valve,3.33L/min,No secondary purpose,Unknown,Hrach Khachatryan
541,KN_45.JPG,10/15/2023,Kentron,Proshyan Street,no valve,4.6,No secondary purpose,Unknown,Lilit Ivanyan
542,KN_46.JPG,10/15/2023,Kentron,Derenik Demirchyan stret,with valve,,No secondary purpose,Unknown,Lilit Ivanyan
543,KN_47.JPG,10/15/2023,Kentron,Amiryan Street,no valve,1.94,No secondary purpose,Unknown,Lilit Ivanyan
544,KN_48.JPG,10/15/2023,Kentron,Mesrop Mashtots Avenue,with valve,,No secondary purpose,Unknown,Lilit Ivanyan
545,KN_49.JPG,10/15/2023,Kentron,Khoren Abrahamyan Street,with a broken valve,2.67,No secondary purpose,Unknown,Lilit Ivanyan
546,KN_50.JPG,10/15/2023,Kentron,Khoren Abrahamyan Street,with valve,,No secondary purpose,Unknown,Lilit Ivanyan
547,KN_51.JPG,10/15/2023,Kentron,Khoren Abrahamyan Street,no valve,3.11,No secondary purpose,Unknown,Lilit Ivanyan
548,KN_52.JPG,10/15/2023,Kentron,Martiros Saryan Street,no valve,Not working,No secondary purpose,Unknown,Lilit Ivanyan
549,KN_53.JPG,10/15/2023,Kentron,Martiros Saryan Street,with a broken valve,2.76,No secondary purpose,Unknown,Lilit Ivanyan
550,KN_54.JPG,10/24/2023,Kentron,Lunapark,no valve,4,No secondary purpose,Unknown,Lilit Ivanyan
551,KN_55.JPG,10/24/2023,Kentron,Kor Street,no valve,2.26,No secondary purpose,Unknown,Lilit Ivanyan
552,KN_56.JPG,10/24/2023,Kentron,Kor Street,no valve,4.48,No secondary purpose,Unknown,Lilit Ivanyan
553,KN_57.JPG,10/24/2023,Kentron,Tigran Mets Avenue,no valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
554,KN_58.JPG,10/24/2023,Kentron,Skate park,no valve,2.88,No secondary purpose,Unknown,Lilit Ivanyan
555,KN_59.JPG,10/24/2023,Kentron,Mesrop Mashtots Avenue,no valve,1.3,No secondary purpose,Unknown,Lilit Ivanyan
556,KN_6.JPG,10/2/2023,Kentron,Martiros Saryan Street,no valve,1.37,No secondary purpose,Unknown,Lilit Ivanyan
557,KN_60.JPG,10/24/2023,Kentron,Abovyan Street,no valve,3.85,No secondary purpose,Unknown,Lilit Ivanyan
558,KN_61.JPG,10/24/2023,Kentron,Koryun Street,no valve,4.77,No secondary purpose,Unknown,Lilit Ivanyan
559,KN_62.JPG,10/24/2023,Kentron,Avetiq Isahakyan Street,with valve,,No secondary purpose,Unknown,Lilit Ivanyan
560,KN_63.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,2.88,No secondary purpose,Unknown,Lilit Ivanyan
561,KN_64.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,6.3,No secondary purpose,Unknown,Lilit Ivanyan
562,KN_65.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,6.3,No secondary purpose,Unknown,Lilit Ivanyan
563,KN_66.JPG,10/24/2023,Kentron,Aleq Manukyan Street,no valve,5.5,No secondary purpose,Unknown,Lilit Ivanyan
564,KN_67.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.4,No secondary purpose,Unknown,Adam Simonyan 
565,KN_68.jpg,10/28/2023,Kentron,Ervand Kochar Street,no valve,4.4,No secondary purpose,Unknown,Adam Simonyan 
